depth,mean_yrsBP,sd_age
923.2,520.53,62
924,521.76,62.38
924.9,522.83,62.91
925.7,523.9,63.45
926.5,524.97,63.98
927.4,526.56,64
928.2,528.11,64.05
929.1,529.18,64.59
929.9,530.37,65.12
930.7,531.98,65.66
931.6,533.39,66
932.4,534.46,66
933.2,535.53,66.26
934.1,536.6,66.8
934.9,538,67.33
935.7,539.6,67.87
936.6,540.8,68
937.4,541.87,68
938.2,542.94,68.47
939.1,544.02,69.01
939.9,545.63,69.54
940.7,547.15,70
941.6,548.22,70
942.4,549.44,70.15
943.3,551.04,70.68
944.1,552.43,71
944.9,553.5,71
945.8,554.57,71.29
946.6,555.64,71.82
947.4,557.07,72
948.3,558.67,72
949.1,559.85,72.43
949.9,560.92,72.96
950.8,561.99,73
951.6,563.09,73.03
952.4,564.69,73.56
953.3,566.2,74
954.1,567.27,74
955,568.51,74.17
955.8,570.11,74.7
956.6,571.48,75
957.5,572.55,75
958.3,573.62,75.31
959.1,574.69,75.84
960,576.13,76
960.8,577.74,76
961.6,578.9,76.45
962.5,579.97,76.98
963.3,581.04,77
964.1,582.16,77.05
965,583.76,77.59
965.8,585.24,78
966.7,586.31,78
967.5,587.38,78.19
968.3,588.45,78.73
969.2,589.78,79
970,591.39,79
970.8,592.66,79.33
971.7,593.73,79.87
972.5,594.8,80
973.3,595.87,80
974.2,597.41,80
975,599.01,80.01
975.8,600.08,80.54
976.7,601.15,81
977.5,602.22,81
978.4,603.43,81
979.2,605.04,81
980,606.43,81.21
980.9,607.5,81.75
981.7,608.85,82
982.5,610.46,82
983.4,611.71,82.35
984.2,612.78,82.89
985,614.27,83
985.9,615.87,83
986.7,616.99,83
987.5,618.06,83.03
988.4,619.13,83.56
989.2,620.29,84
990.1,621.9,84
990.9,623.33,84
991.7,624.4,84
992.6,625.47,84.24
993.4,626.54,84.77
994.2,627.92,85
995.1,629.52,85
995.9,630.75,85
996.7,631.82,85
997.6,632.89,85.45
998.4,633.96,85.98
999.2,635.55,86
1000.1,637.1,86
1000.9,638.17,86
1001.8,639.36,86.12
1002.6,640.97,86.66
1003.4,642.38,87
1004.3,643.45,87
1005.1,644.52,87
1005.9,645.59,87
1006.8,646.99,87.33
1007.6,648.59,87.86
1008.4,649.8,88
1009.3,650.87,88
1010.1,651.94,88
1011,653.01,88
1011.8,654.62,88.54
1012.6,656.15,89
1013.5,657.22,89
1014.3,658.43,89
1015.1,660.03,89
1016,661.43,89
1016.8,662.5,89
1017.6,663.85,89.28
1018.5,665.45,89.82
1019.3,666.7,90
1020.1,667.77,90
1021,668.84,90
1021.8,669.91,90
1022.7,670.98,90
1023.5,672.08,90.03
1024.3,673.68,90.56
1025.2,675.19,91
1026,676.26,91
1026.8,677.5,91
1027.7,679.1,91
1028.5,680.47,91
1029.3,681.54,91
1030.2,682.92,91.31
1031,684.52,91.84
1031.8,685.75,92
1032.7,686.82,92
